title,artist,duration_seconds,youtube_id,genres
רכבת לצפון,אסף אמדורסקי,4:11,ca6lBZToMgw,israeli-rock-pop
עונות,אביב גפן,3:54,SzGr282fgAM,israeli-rock-pop
חלילות,ברי סחרוף,4:25,D96LIS-ByvI,israeli-rock-pop
נפלת חזק,איפה הילד,4:56,fTbzkT6lOdw,israeli-rock-pop
הכוכב של מחוז גוש דן,אהוד בנאי,2:59,l0LshUxIvBw,israeli-rock-pop
איך היא הכל מבינה,פורטרט,4:57,vF45b6ZPR1o,israeli-rock-pop
טבריה,מיכה שטרית,3:54,vhn6HFwTc3I,israeli-rock-pop
הכאב הזה,עברי לידר & נינט טייב,4:42,DIcs0MWQ95c,israeli-rock-pop
מוכרת לי מפעם,דין דין אביב,3:12,Nba8UzXpseQ,israeli-rock-pop

# ISRAELI-POP (15 songs)
כביש החוף,סטטיק ובן אל,3:19,t2fakms1QWo,israeli-pop
בית משוגעים,רן דנקר,2:55,PqxUV9xk7T4ת,israeli-pop
טודו בום,סטטיק ובן אל,3:20,Y_OLslE3bX8,israeli-pop
טרילילי טרללה,נועה קירל & אילן פלד,3:25,QB8NuvDML2I,israeli-pop
באמפרים,נס וסטילה,2:29,_I56eDHwQr8,israeli-pop
זוט עני,אלה לי,3:00,F2ZLege5wF8,israeli-pop
פנתרה,נועה קירל,3:03,ZOf7aMbzQAM,israeli-pop
אנג'ל,מרגי,4:07,ylrMcluiUfx-kY,israeli-pop
מי זאת,אנה זק,2:39,bcuRKDY0Rz0,israeli-pop
נאדי באדי,שחר טבוך & אגם בוחבוט,2:37,xqr9rZ8eBBc,israeli-pop
סוד,רוני דואני,3:38,V1YdQyMwc6w,israeli-pop

# ISRAELI-RAP-HIP-HOP
עולם משוגע,טונה,5:55,SzakaMO9LuQ,israeli-rap-hip-hop
קפה וסיגריה,רביד פלוטניק,4:08,dmUGuJf-cgg,israeli-rap-hip-hop
סחרחורת,טונה,4:16,aFG7MR6ld1M,israeli-rap-hip-hop
הפינאלי,סאבלימינל והצל,3:51,Z760vU8ezg4,israeli-rap-hip-hop
תתקעו בחצוצרה,שקב ס,3:24,fQug2Rw7i7M,israeli-rap-hip-hop
תזהר ממנה,סאבלימינל & ליאור פרחי,3:38,mmjj_UXh7gg,israeli-rap-hip-hop
טורו,סאלימינל & אלון דה לוקו & איציק שמלי,4:12,QZiUtAuoCiQ,israeli-rap-hip-hop
